customer_id,last_order,frequency,completed_orders,recency,segment
65,2024-12-10,3,3,20,Regular Customers
66,2024-03-27,2,2,278,At Risk
67,2024-10-02,2,2,89,Regular Customers
68,2024-08-02,2,1,150,Regular Customers
69,2024-03-30,6,5,275,At Risk
70,2024-12-22,2,2,8,Regular Customers
72,2024-03-24,2,2,281,At Risk
73,2024-09-02,1,1,119,New/One-Time
74,2024-01-04,1,1,361,At Risk
75,2024-10-24,5,4,67,Loyal Customers
76,2024-10-28,4,4,63,Loyal Customers
78,2024-12-24,4,4,6,Loyal Customers
80,2024-12-14,1,0,16,New/One-Time
81,2024-12-20,4,4,10,Loyal Customers
82,2024-03-16,1,1,289,At Risk
83,2024-06-13,2,1,200,At Risk
84,2024-08-11,3,3,141,Regular Customers
85,2024-03-13,1,1,292,At Risk
86,2024-12-27,4,4,3,Loyal Customers
88,2024-04-22,1,1,252,At Risk
89,2024-09-25,4,2,96,Regular Customers
90,2024-11-09,5,5,51,Loyal Customers
91,2024-02-27,1,1,307,At Risk
92,2024-09-20,5,4,101,Regular Customers
93,2024-08-07,2,2,145,Regular Customers
94,2024-11-11,3,3,49,Regular Customers
95,2024-11-13,7,3,47,Loyal Customers
96,2024-10-15,5,3,76,Loyal Customers
97,2024-12-14,3,2,16,Regular Customers
98,2024-06-14,3,1,199,At Risk
99,2024-11-30,9,8,30,Loyal Customers
100,2024-04-23,4,4,251,At Risk
101,2024-12-28,7,7,2,Loyal Customers
103,2024-10-31,4,2,60,Loyal Customers
104,2024-12-30,7,5,0,Loyal Customers
105,2024-12-28,2,1,2,Regular Customers
106,2024-11-04,4,2,56,Loyal Customers
107,2024-08-12,2,2,140,Regular Customers
108,2024-09-24,2,2,97,Regular Customers
109,2024-06-23,2,2,190,At Risk
110,2024-03-17,1,1,288,At Risk
111,2024-11-08,7,4,52,Loyal Customers
112,2024-10-08,4,2,83,Loyal Customers
113,2024-11-05,7,6,55,Loyal Customers
114,2024-11-19,2,1,41,Regular Customers
115,2024-09-27,2,1,94,Regular Customers
116,2024-11-05,3,2,55,Regular Customers
117,2024-08-14,3,2,138,Regular Customers
118,2024-09-07,6,6,114,Regular Customers
119,2024-10-27,2,2,64,Regular Customers
120,2024-03-02,2,2,303,At Risk
121,2024-08-24,2,2,128,Regular Customers
122,2024-08-14,6,3,138,Regular Customers
123,2024-09-21,2,2,100,Regular Customers
124,2024-08-16,2,0,136,Regular Customers
125,2024-04-11,2,2,263,At Risk
126,2024-11-18,6,6,42,Loyal Customers
127,2024-10-19,4,4,72,Loyal Customers
128,2024-11-05,5,3,55,Loyal Customers
129,2024-09-12,3,3,109,Regular Customers
130,2024-11-07,4,4,53,Loyal Customers
131,2024-09-11,4,3,110,Regular Customers
132,2024-06-09,2,1,204,At Risk
133,2024-11-02,6,5,58,Loyal Customers
134,2024-11-05,5,4,55,Loyal Customers
135,2024-11-23,3,2,37,Regular Customers
136,2024-12-02,4,3,28,Loyal Customers
137,2024-12-10,4,3,20,Loyal Customers
138,2024-06-23,2,1,190,At Risk
139,2024-09-20,2,2,101,Regular Customers
140,2024-10-27,2,2,64,Regular Customers
141,2024-10-06,4,3,85,Loyal Customers
142,2024-11-28,2,2,32,Regular Customers
143,2024-08-15,4,3,137,Regular Customers
144,2024-11-01,7,7,59,Loyal Customers
145,2024-12-03,6,5,27,Loyal Customers
146,2024-12-18,3,1,12,Regular Customers
147,2024-09-24,6,5,97,Regular Customers
148,2024-10-01,5,4,90,Loyal Customers
149,2024-12-15,2,2,15,Regular Customers
150,2024-11-29,4,4,31,Loyal Customers
151,2024-12-18,5,3,12,Loyal Customers
152,2024-12-30,7,6,0,Loyal Customers
153,2024-04-26,3,2,248,At Risk
154,2024-08-18,5,4,134,Regular Customers
155,2024-07-11,2,1,172,Regular Customers
156,2024-04-30,2,2,244,At Risk
157,2024-07-17,5,4,166,Regular Customers
158,2024-10-27,4,4,64,Loyal Customers
159,2024-10-08,1,1,83,New/One-Time
160,2024-12-29,7,5,1,Loyal Customers
161,2024-12-17,6,4,13,Loyal Customers
162,2024-11-25,2,2,35,Regular Customers
163,2024-12-07,4,2,23,Loyal Customers
164,2024-03-17,3,3,288,At Risk
165,2024-11-12,4,4,48,Loyal Customers
166,2024-06-21,1,1,192,At Risk
167,2024-09-13,2,2,108,Regular Customers
168,2024-11-06,3,3,54,Regular Customers
169,2024-11-23,1,1,37,New/One-Time
170,2024-11-08,6,5,52,Loyal Customers
171,2024-10-01,2,1,90,Regular Customers
172,2024-12-02,5,3,28,Loyal Customers
173,2024-12-09,7,6,21,Loyal Customers
174,2024-10-11,2,2,80,Regular Customers
175,2024-11-16,1,1,44,New/One-Time
176,2024-07-05,2,1,178,Regular Customers
177,2024-10-15,6,3,76,Loyal Customers
178,2024-12-23,3,2,7,Regular Customers
179,2024-09-25,5,5,96,Regular Customers
180,2024-12-19,6,6,11,Loyal Customers
181,2024-10-28,2,2,63,Regular Customers
182,2024-12-27,3,2,3,Regular Customers
183,2024-11-27,2,0,33,Regular Customers
184,2024-10-22,4,2,69,Loyal Customers
185,2024-11-23,1,1,37,New/One-Time
186,2024-11-15,3,1,45,Regular Customers
187,2024-05-31,5,5,213,At Risk
188,2024-09-01,3,2,120,Regular Customers
189,2024-11-27,3,3,33,Regular Customers
190,2024-12-14,6,5,16,Loyal Customers
191,2024-08-10,3,2,142,Regular Customers
192,2024-11-06,7,5,54,Loyal Customers
194,2024-08-04,3,2,148,Regular Customers
195,2024-10-19,3,2,72,Regular Customers
196,2024-09-23,3,3,98,Regular Customers
197,2024-06-08,2,2,205,At Risk
198,2024-12-09,6,4,21,Loyal Customers
199,2024-04-10,1,1,264,At Risk
200,2024-10-07,1,1,84,New/One-Time
201,2024-10-15,3,3,76,Regular Customers
202,2024-12-16,5,2,14,Loyal Customers
203,2024-11-01,3,3,59,Regular Customers
204,2024-10-10,1,0,81,New/One-Time
205,2024-09-20,2,2,101,Regular Customers
206,2024-11-19,2,2,41,Regular Customers
207,2024-01-29,3,2,336,At Risk
208,2024-07-06,3,3,177,Regular Customers
210,2024-11-19,2,2,41,Regular Customers
211,2024-01-19,1,1,346,At Risk
212,2024-12-26,3,2,4,Regular Customers
213,2024-10-11,3,3,80,Regular Customers
214,2024-04-15,4,4,259,At Risk
215,2024-07-12,6,5,171,Regular Customers
216,2024-10-30,3,2,61,Regular Customers
217,2024-12-21,6,5,9,Loyal Customers
218,2024-12-30,6,5,0,Loyal Customers
220,2024-10-15,7,6,76,Loyal Customers
221,2024-05-13,1,1,231,At Risk
222,2024-12-06,3,3,24,Regular Customers
223,2024-09-07,5,4,114,Regular Customers
224,2024-12-25,5,5,5,Loyal Customers
225,2024-12-05,5,2,25,Loyal Customers
226,2024-07-25,3,1,158,Regular Customers
227,2024-10-21,5,3,70,Loyal Customers
228,2024-11-23,3,3,37,Regular Customers
229,2024-06-09,6,5,204,At Risk
230,2024-05-10,2,2,234,At Risk
231,2024-11-11,6,5,49,Loyal Customers
233,2024-12-28,8,7,2,Loyal Customers
234,2024-01-29,1,0,336,At Risk
235,2024-07-20,2,2,163,Regular Customers
236,2024-11-23,4,3,37,Loyal Customers
237,2024-12-21,4,4,9,Loyal Customers
238,2024-12-10,3,3,20,Regular Customers
239,2024-08-12,5,5,140,Regular Customers
240,2024-08-01,3,2,151,Regular Customers
241,2024-11-21,1,1,39,New/One-Time
242,2024-05-12,4,4,232,At Risk
243,2024-09-01,3,3,120,Regular Customers
244,2024-11-18,2,2,42,Regular Customers
246,2024-11-18,2,2,42,Regular Customers
247,2024-07-16,6,5,167,Regular Customers
249,2024-12-21,4,4,9,Loyal Customers
250,2024-12-12,3,2,18,Regular Customers
251,2024-10-23,3,2,68,Regular Customers
252,2024-12-19,7,6,11,Loyal Customers
253,2024-09-28,6,4,93,Regular Customers
254,2024-10-29,5,3,62,Loyal Customers
255,2024-12-27,3,1,3,Regular Customers
256,2024-08-26,2,2,126,Regular Customers
257,2024-10-19,5,3,72,Loyal Customers
258,2024-05-11,2,2,233,At Risk
259,2024-11-14,6,5,46,Loyal Customers
260,2024-11-23,2,2,37,Regular Customers
261,2024-10-06,3,3,85,Regular Customers
262,2024-11-07,2,2,53,Regular Customers
263,2024-01-12,1,1,353,At Risk
264,2024-10-17,6,6,74,Loyal Customers
265,2024-12-17,3,3,13,Regular Customers
267,2024-11-25,4,3,35,Loyal Customers
268,2024-12-19,5,2,11,Loyal Customers
269,2024-04-08,1,0,266,At Risk
270,2024-10-30,2,1,61,Regular Customers
271,2024-12-14,4,4,16,Loyal Customers
272,2024-08-13,2,1,139,Regular Customers
273,2024-07-13,5,4,170,Regular Customers
274,2024-08-26,2,2,126,Regular Customers
275,2024-09-18,3,3,103,Regular Customers
277,2024-12-24,6,6,6,Loyal Customers
278,2024-02-09,1,1,325,At Risk
279,2024-12-30,2,2,0,Regular Customers
280,2024-12-01,5,3,29,Loyal Customers
281,2024-12-05,2,0,25,Regular Customers
282,2024-11-21,4,2,39,Loyal Customers
283,2024-12-29,6,2,1,Loyal Customers
284,2024-12-07,4,3,23,Loyal Customers
285,2024-10-26,5,5,65,Loyal Customers
286,2024-11-21,6,6,39,Loyal Customers
287,2024-08-26,1,0,126,New/One-Time
288,2024-11-19,4,3,41,Loyal Customers
289,2024-12-29,7,5,1,Loyal Customers
290,2024-09-23,2,2,98,Regular Customers
291,2024-12-26,2,2,4,Regular Customers
292,2024-12-08,3,3,22,Regular Customers
293,2024-11-29,3,3,31,Regular Customers
294,2024-09-20,6,6,101,Regular Customers
295,2024-09-01,2,0,120,Regular Customers
296,2024-05-26,4,2,218,At Risk
297,2024-05-23,1,1,221,At Risk
298,2024-11-06,1,1,54,New/One-Time
299,2024-12-09,2,2,21,Regular Customers
300,2024-04-02,2,1,272,At Risk
