order_id,customer_id,order_date,status,country,signup_date,year,month,month_name,quarter,day_name,year_month,first_order_date,days_since_first_order
49,2,2024-04-29,Completed,Italy,2023-02-10,2024,4,April,2,Monday,2024-04,2024-03-09,51
50,54,2024-10-28,Completed,Morocco,2023-06-12,2024,10,October,4,Monday,2024-10,2024-01-22,280
51,106,2024-06-13,Returned,France,2023-05-09,2024,6,June,2,Thursday,2024-06,2024-01-27,138
52,260,2024-06-30,Completed,Italy,2024-03-11,2024,6,June,2,Sunday,2024-06,2024-06-30,0
53,191,2024-08-10,Completed,Italy,2024-04-19,2024,8,August,3,Saturday,2024-08,2024-05-24,78
54,218,2024-11-06,Completed,Germany,2024-04-12,2024,11,November,4,Wednesday,2024-11,2024-03-21,230
55,44,2024-01-07,Completed,France,2023-02-04,2024,1,January,1,Sunday,2024-01,2024-01-07,0
56,162,2024-11-25,Completed,Italy,2023-09-12,2024,11,November,4,Monday,2024-11,2024-01-07,323
57,202,2024-09-19,Completed,Spain,2023-02-18,2024,9,September,3,Thursday,2024-09,2024-01-15,248
58,270,2024-06-09,Returned,Spain,2023-09-17,2024,6,June,2,Sunday,2024-06,2024-06-09,0
59,271,2024-05-30,Completed,France,2023-08-29,2024,5,May,2,Thursday,2024-05,2024-05-30,0
60,215,2024-03-25,Completed,Germany,2024-02-15,2024,3,March,1,Monday,2024-03,2024-02-02,52
61,252,2024-05-26,Completed,Germany,2023-12-28,2024,5,May,2,Sunday,2024-05,2024-01-11,136
62,190,2024-04-21,Completed,Spain,2023-10-20,2024,4,April,2,Sunday,2024-04,2024-01-08,104
63,296,2024-02-05,Completed,France,2023-06-11,2024,2,February,1,Monday,2024-02,2024-02-05,0
64,213,2024-10-11,Completed,France,2024-04-27,2024,10,October,4,Friday,2024-10,2024-03-30,195
65,208,2024-07-06,Completed,Morocco,2024-04-07,2024,7,July,3,Saturday,2024-07,2024-05-22,45
66,237,2024-03-22,Completed,Italy,2023-06-27,2024,3,March,1,Friday,2024-03,2024-03-22,0
67,53,2024-01-02,Completed,France,2023-11-04,2024,1,January,1,Tuesday,2024-01,2024-01-02,0
68,280,2024-10-29,Completed,Italy,2023-01-31,2024,10,October,4,Tuesday,2024-10,2024-02-08,264
69,217,2024-07-15,Returned,Italy,2023-02-01,2024,7,July,3,Monday,2024-07,2024-04-01,105
70,252,2024-01-11,Completed,Germany,2023-12-28,2024,1,January,1,Thursday,2024-01,2024-01-11,0
71,188,2024-08-21,Completed,Germany,2023-07-30,2024,8,August,3,Wednesday,2024-08,2024-06-26,56
72,41,2024-07-13,Completed,Spain,2023-06-12,2024,7,July,3,Saturday,2024-07,2024-02-01,163
73,157,2024-04-28,Returned,Morocco,2024-04-07,2024,4,April,2,Sunday,2024-04,2024-04-02,26
74,15,2024-01-20,Returned,Morocco,2023-09-01,2024,1,January,1,Saturday,2024-01,2024-01-20,0
75,65,2024-09-17,Completed,France,2023-08-31,2024,9,September,3,Tuesday,2024-09,2024-08-29,19
76,9,2024-10-19,Cancelled,Morocco,2023-08-09,2024,10,October,4,Saturday,2024-10,2024-07-18,93
77,129,2024-09-12,Completed,France,2024-03-29,2024,9,September,3,Thursday,2024-09,2024-01-17,239
78,136,2024-08-09,Completed,Spain,2023-07-01,2024,8,August,3,Friday,2024-08,2024-06-01,69
79,63,2024-08-13,Completed,Spain,2024-03-03,2024,8,August,3,Tuesday,2024-08,2024-01-09,217
80,139,2024-02-22,Completed,France,2024-03-08,2024,2,February,1,Thursday,2024-02,2024-02-22,0
81,81,2024-12-20,Completed,Spain,2023-05-15,2024,12,December,4,Friday,2024-12,2024-03-18,277
82,163,2024-12-07,Cancelled,Spain,2023-07-27,2024,12,December,4,Saturday,2024-12,2024-01-29,313
83,289,2024-12-29,Completed,Italy,2023-05-28,2024,12,December,4,Sunday,2024-12,2024-03-22,282
84,261,2024-10-06,Completed,Morocco,2023-10-31,2024,10,October,4,Sunday,2024-10,2024-01-12,268
85,231,2024-03-21,Completed,Morocco,2024-02-18,2024,3,March,1,Thursday,2024-03,2024-02-11,39
86,41,2024-07-20,Completed,Spain,2023-06-12,2024,7,July,3,Saturday,2024-07,2024-02-01,170
87,28,2024-06-06,Completed,Morocco,2024-02-04,2024,6,June,2,Thursday,2024-06,2024-04-04,63
88,135,2024-04-29,Completed,France,2023-09-23,2024,4,April,2,Monday,2024-04,2024-04-12,17
89,201,2024-02-28,Completed,France,2024-01-16,2024,2,February,1,Wednesday,2024-02,2024-02-28,0
90,268,2024-08-02,Returned,France,2023-05-10,2024,8,August,3,Friday,2024-08,2024-02-14,170
91,33,2024-05-07,Completed,Italy,2023-04-11,2024,5,May,2,Tuesday,2024-05,2024-05-07,0
92,48,2024-08-11,Completed,Italy,2023-12-24,2024,8,August,3,Sunday,2024-08,2024-01-29,195
93,62,2024-07-27,Completed,Spain,2023-05-07,2024,7,July,3,Saturday,2024-07,2024-03-13,136
94,216,2024-04-24,Completed,Italy,2023-01-08,2024,4,April,2,Wednesday,2024-04,2024-01-14,101
95,293,2024-07-27,Completed,Germany,2023-11-04,2024,7,July,3,Saturday,2024-07,2024-05-08,80
96,99,2024-01-14,Completed,Italy,2024-01-09,2024,1,January,1,Sunday,2024-01,2024-01-13,1
97,172,2024-01-09,Returned,Italy,2023-07-18,2024,1,January,1,Tuesday,2024-01,2024-01-09,0
98,214,2024-02-09,Completed,Italy,2023-04-01,2024,2,February,1,Friday,2024-02,2024-01-18,22
99,35,2024-08-24,Returned,Spain,2023-11-14,2024,8,August,3,Saturday,2024-08,2024-03-28,149
100,227,2024-10-07,Cancelled,Spain,2023-09-21,2024,10,October,4,Monday,2024-10,2024-06-01,128
101,101,2024-12-24,Completed,Germany,2024-01-10,2024,12,December,4,Tuesday,2024-12,2024-01-02,357
102,131,2024-07-19,Returned,Spain,2024-04-08,2024,7,July,3,Friday,2024-07,2024-02-28,142
103,257,2024-09-02,Completed,Italy,2023-09-06,2024,9,September,3,Monday,2024-09,2024-05-25,100
104,5,2024-10-04,Cancelled,Italy,2024-02-05,2024,10,October,4,Friday,2024-10,2024-01-22,256
105,218,2024-08-22,Completed,Germany,2024-04-12,2024,8,August,3,Thursday,2024-08,2024-03-21,154
106,255,2024-01-04,Cancelled,France,2023-09-30,2024,1,January,1,Thursday,2024-01,2024-01-04,0
107,283,2024-06-02,Cancelled,Italy,2023-01-21,2024,6,June,2,Sunday,2024-06,2024-03-04,90
108,207,2024-01-29,Cancelled,Germany,2023-03-18,2024,1,January,1,Monday,2024-01,2024-01-02,27
109,15,2024-04-18,Completed,Morocco,2023-09-01,2024,4,April,2,Thursday,2024-04,2024-01-20,89
110,42,2024-04-07,Completed,Italy,2024-01-07,2024,4,April,2,Sunday,2024-04,2024-04-07,0
111,179,2024-08-02,Completed,Spain,2023-05-08,2024,8,August,3,Friday,2024-08,2024-04-07,117
112,63,2024-10-19,Completed,Spain,2024-03-03,2024,10,October,4,Saturday,2024-10,2024-01-09,284
113,231,2024-03-15,Completed,Morocco,2024-02-18,2024,3,March,1,Friday,2024-03,2024-02-11,33
114,241,2024-11-21,Completed,Morocco,2024-01-22,2024,11,November,4,Thursday,2024-11,2024-11-21,0
115,52,2024-05-25,Completed,France,2023-01-21,2024,5,May,2,Saturday,2024-05,2024-05-25,0
116,96,2024-05-07,Returned,Germany,2024-01-31,2024,5,May,2,Tuesday,2024-05,2024-01-11,117
117,222,2024-12-06,Completed,Spain,2023-07-10,2024,12,December,4,Friday,2024-12,2024-05-06,214
118,231,2024-02-11,Cancelled,Morocco,2024-02-18,2024,2,February,1,Sunday,2024-02,2024-02-11,0
119,237,2024-12-21,Completed,Italy,2023-06-27,2024,12,December,4,Saturday,2024-12,2024-03-22,274
120,143,2024-02-10,Cancelled,Italy,2023-08-24,2024,2,February,1,Saturday,2024-02,2024-01-19,22
121,171,2024-02-03,Returned,Italy,2023-07-09,2024,2,February,1,Saturday,2024-02,2024-02-03,0
122,29,2024-01-17,Completed,Germany,2023-07-26,2024,1,January,1,Wednesday,2024-01,2024-01-17,0
123,36,2024-06-13,Completed,Italy,2024-01-03,2024,6,June,2,Thursday,2024-06,2024-02-15,119
124,13,2024-06-01,Completed,Italy,2024-02-10,2024,6,June,2,Saturday,2024-06,2024-06-01,0
125,160,2024-03-16,Completed,France,2023-05-11,2024,3,March,1,Saturday,2024-03,2024-03-16,0
126,187,2024-03-27,Completed,Morocco,2024-02-14,2024,3,March,1,Wednesday,2024-03,2024-02-29,27
127,243,2024-04-26,Completed,France,2024-03-10,2024,4,April,2,Friday,2024-04,2024-02-12,74
128,86,2024-12-27,Completed,Morocco,2024-02-17,2024,12,December,4,Friday,2024-12,2024-02-07,324
129,284,2024-12-07,Completed,Morocco,2023-08-22,2024,12,December,4,Saturday,2024-12,2024-06-16,174
130,66,2024-01-27,Completed,Spain,2023-12-15,2024,1,January,1,Saturday,2024-01,2024-01-27,0
131,170,2024-11-08,Completed,Morocco,2023-09-07,2024,11,November,4,Friday,2024-11,2024-03-01,252
132,45,2024-10-13,Completed,Italy,2023-10-11,2024,10,October,4,Sunday,2024-10,2024-10-13,0
133,62,2024-05-13,Returned,Spain,2023-05-07,2024,5,May,2,Monday,2024-05,2024-03-13,61
134,134,2024-08-06,Completed,Italy,2023-08-28,2024,8,August,3,Tuesday,2024-08,2024-05-03,95
135,284,2024-06-16,Returned,Morocco,2023-08-22,2024,6,June,2,Sunday,2024-06,2024-06-16,0
136,28,2024-04-07,Completed,Morocco,2024-02-04,2024,4,April,2,Sunday,2024-04,2024-04-04,3
137,108,2024-09-24,Completed,Italy,2023-06-04,2024,9,September,3,Tuesday,2024-09,2024-01-05,263
138,44,2024-08-24,Completed,France,2023-02-04,2024,8,August,3,Saturday,2024-08,2024-01-07,230
139,286,2024-11-04,Completed,Spain,2023-10-06,2024,11,November,4,Monday,2024-11,2024-01-04,305
140,128,2024-06-21,Completed,Italy,2024-03-20,2024,6,June,2,Friday,2024-06,2024-01-14,159
141,231,2024-07-08,Completed,Morocco,2024-02-18,2024,7,July,3,Monday,2024-07,2024-02-11,148
142,190,2024-05-01,Completed,Spain,2023-10-20,2024,5,May,2,Wednesday,2024-05,2024-01-08,114
143,225,2024-02-15,Completed,Morocco,2023-03-02,2024,2,February,1,Thursday,2024-02,2024-02-15,0
144,283,2024-03-04,Completed,Italy,2023-01-21,2024,3,March,1,Monday,2024-03,2024-03-04,0
145,121,2024-05-09,Completed,Germany,2024-01-25,2024,5,May,2,Thursday,2024-05,2024-05-09,0
146,116,2024-11-05,Completed,France,2023-07-16,2024,11,November,4,Tuesday,2024-11,2024-08-23,74
147,233,2024-12-28,Completed,Spain,2023-05-29,2024,12,December,4,Saturday,2024-12,2024-01-25,338
148,259,2024-07-11,Completed,Spain,2024-03-15,2024,7,July,3,Thursday,2024-07,2024-04-15,87
149,198,2024-11-02,Completed,Germany,2023-05-02,2024,11,November,4,Saturday,2024-11,2024-02-11,265
150,137,2024-06-29,Returned,France,2023-04-15,2024,6,June,2,Saturday,2024-06,2024-02-04,146
151,165,2024-10-18,Completed,Italy,2023-04-05,2024,10,October,4,Friday,2024-10,2024-07-13,97
152,225,2024-10-08,Completed,Morocco,2023-03-02,2024,10,October,4,Tuesday,2024-10,2024-02-15,236
153,234,2024-01-29,Returned,Germany,2023-07-23,2024,1,January,1,Monday,2024-01,2024-01-29,0
154,172,2024-05-28,Completed,Italy,2023-07-18,2024,5,May,2,Tuesday,2024-05,2024-01-09,140
155,152,2024-09-23,Completed,Morocco,2023-09-15,2024,9,September,3,Monday,2024-09,2024-02-16,220
156,160,2024-10-22,Completed,France,2023-05-11,2024,10,October,4,Tuesday,2024-10,2024-03-16,220
157,96,2024-01-11,Completed,Germany,2024-01-31,2024,1,January,1,Thursday,2024-01,2024-01-11,0
158,233,2024-06-12,Completed,Spain,2023-05-29,2024,6,June,2,Wednesday,2024-06,2024-01-25,139
159,180,2024-04-22,Completed,Italy,2023-04-03,2024,4,April,2,Monday,2024-04,2024-04-22,0
160,113,2024-07-05,Completed,Spain,2024-04-12,2024,7,July,3,Friday,2024-07,2024-02-24,132
161,52,2024-10-21,Completed,France,2023-01-21,2024,10,October,4,Monday,2024-10,2024-05-25,149
162,268,2024-08-19,Returned,France,2023-05-10,2024,8,August,3,Monday,2024-08,2024-02-14,187
163,295,2024-08-14,Cancelled,France,2024-03-05,2024,8,August,3,Wednesday,2024-08,2024-08-14,0
164,113,2024-11-05,Completed,Spain,2024-04-12,2024,11,November,4,Tuesday,2024-11,2024-02-24,255
165,101,2024-04-07,Completed,Germany,2024-01-10,2024,4,April,2,Sunday,2024-04,2024-01-02,96
166,113,2024-02-24,Completed,Spain,2024-04-12,2024,2,February,1,Saturday,2024-02,2024-02-24,0
167,81,2024-04-20,Completed,Spain,2023-05-15,2024,4,April,2,Saturday,2024-04,2024-03-18,33
168,187,2024-05-31,Completed,Morocco,2024-02-14,2024,5,May,2,Friday,2024-05,2024-02-29,92
169,113,2024-09-02,Completed,Spain,2024-04-12,2024,9,September,3,Monday,2024-09,2024-02-24,191
170,2,2024-03-09,Cancelled,Italy,2023-02-10,2024,3,March,1,Saturday,2024-03,2024-03-09,0
171,130,2024-11-07,Completed,Spain,2023-07-26,2024,11,November,4,Thursday,2024-11,2024-04-28,193
172,220,2024-10-15,Completed,France,2024-01-29,2024,10,October,4,Tuesday,2024-10,2024-06-14,123
173,54,2024-09-06,Completed,Morocco,2023-06-12,2024,9,September,3,Friday,2024-09,2024-01-22,228
174,224,2024-02-05,Completed,France,2023-06-12,2024,2,February,1,Monday,2024-02,2024-01-02,34
175,225,2024-08-26,Cancelled,Morocco,2023-03-02,2024,8,August,3,Monday,2024-08,2024-02-15,193
176,126,2024-05-27,Completed,France,2023-07-24,2024,5,May,2,Monday,2024-05,2024-03-20,68
177,130,2024-08-14,Completed,Spain,2023-07-26,2024,8,August,3,Wednesday,2024-08,2024-04-28,108
178,53,2024-08-31,Completed,France,2023-11-04,2024,8,August,3,Saturday,2024-08,2024-01-02,242
179,172,2024-12-02,Completed,Italy,2023-07-18,2024,12,December,4,Monday,2024-12,2024-01-09,328
180,218,2024-12-30,Completed,Germany,2024-04-12,2024,12,December,4,Monday,2024-12,2024-03-21,284
181,160,2024-07-19,Completed,France,2023-05-11,2024,7,July,3,Friday,2024-07,2024-03-16,125
182,198,2024-06-02,Completed,Germany,2023-05-02,2024,6,June,2,Sunday,2024-06,2024-02-11,112
183,247,2024-03-13,Completed,Spain,2024-05-12,2024,3,March,1,Wednesday,2024-03,2024-01-25,48
184,203,2024-07-19,Completed,Spain,2024-01-12,2024,7,July,3,Friday,2024-07,2024-01-24,177
185,184,2024-10-22,Completed,France,2024-04-21,2024,10,October,4,Tuesday,2024-10,2024-04-26,179
186,123,2024-01-17,Completed,Spain,2024-03-14,2024,1,January,1,Wednesday,2024-01,2024-01-17,0
187,255,2024-05-08,Completed,France,2023-09-30,2024,5,May,2,Wednesday,2024-05,2024-01-04,125
188,294,2024-08-04,Completed,France,2024-01-06,2024,8,August,3,Sunday,2024-08,2024-02-05,181
189,280,2024-03-01,Returned,Italy,2023-01-31,2024,3,March,1,Friday,2024-03,2024-02-08,22
190,98,2024-04-13,Cancelled,Morocco,2024-02-20,2024,4,April,2,Saturday,2024-04,2024-02-24,49
191,198,2024-02-11,Returned,Germany,2023-05-02,2024,2,February,1,Sunday,2024-02,2024-02-11,0
192,240,2024-01-25,Completed,France,2024-04-26,2024,1,January,1,Thursday,2024-01,2024-01-25,0
193,144,2024-02-08,Completed,France,2023-06-22,2024,2,February,1,Thursday,2024-02,2024-01-09,30
194,97,2024-10-17,Completed,Spain,2023-12-17,2024,10,October,4,Thursday,2024-10,2024-08-11,67
195,201,2024-05-10,Completed,France,2024-01-16,2024,5,May,2,Friday,2024-05,2024-02-28,72
196,124,2024-08-16,Cancelled,Morocco,2023-01-19,2024,8,August,3,Friday,2024-08,2024-01-20,209
197,187,2024-04-17,Completed,Morocco,2024-02-14,2024,4,April,2,Wednesday,2024-04,2024-02-29,48
198,259,2024-06-20,Completed,Spain,2024-03-15,2024,6,June,2,Thursday,2024-06,2024-04-15,66
199,148,2024-04-11,Completed,Morocco,2024-04-02,2024,4,April,2,Thursday,2024-04,2024-01-27,75
200,252,2024-12-19,Completed,Germany,2023-12-28,2024,12,December,4,Thursday,2024-12,2024-01-11,343
201,147,2024-01-12,Completed,Germany,2024-05-08,2024,1,January,1,Friday,2024-01,2024-01-12,0
202,148,2024-10-01,Completed,Morocco,2024-04-02,2024,10,October,4,Tuesday,2024-10,2024-01-27,248
203,199,2024-04-10,Completed,Morocco,2023-10-26,2024,4,April,2,Wednesday,2024-04,2024-04-10,0
204,128,2024-02-13,Completed,Italy,2024-03-20,2024,2,February,1,Tuesday,2024-02,2024-01-14,30
205,39,2024-10-31,Completed,Morocco,2024-02-15,2024,10,October,4,Thursday,2024-10,2024-01-10,295
206,129,2024-01-17,Completed,France,2024-03-29,2024,1,January,1,Wednesday,2024-01,2024-01-17,0
207,267,2024-11-25,Cancelled,Spain,2024-02-15,2024,11,November,4,Monday,2024-11,2024-05-21,188
208,151,2024-02-26,Returned,Germany,2023-06-06,2024,2,February,1,Monday,2024-02,2024-02-26,0
209,298,2024-11-06,Completed,Morocco,2023-12-06,2024,11,November,4,Wednesday,2024-11,2024-11-06,0
210,99,2024-10-29,Completed,Italy,2024-01-09,2024,10,October,4,Tuesday,2024-10,2024-01-13,290
211,263,2024-01-12,Completed,Spain,2024-05-07,2024,1,January,1,Friday,2024-01,2024-01-12,0
212,252,2024-11-13,Completed,Germany,2023-12-28,2024,11,November,4,Wednesday,2024-11,2024-01-11,307
213,144,2024-03-20,Completed,France,2023-06-22,2024,3,March,1,Wednesday,2024-03,2024-01-09,71
214,112,2024-08-03,Cancelled,Germany,2024-04-25,2024,8,August,3,Saturday,2024-08,2024-07-06,28
215,60,2024-12-04,Completed,Spain,2024-04-15,2024,12,December,4,Wednesday,2024-12,2024-09-18,77
216,2,2024-09-20,Returned,Italy,2023-02-10,2024,9,September,3,Friday,2024-09,2024-03-09,195
217,254,2024-05-28,Completed,Germany,2023-08-09,2024,5,May,2,Tuesday,2024-05,2024-03-26,63
218,140,2024-03-21,Completed,Morocco,2024-02-05,2024,3,March,1,Thursday,2024-03,2024-03-21,0
219,37,2024-08-02,Completed,Italy,2023-08-29,2024,8,August,3,Friday,2024-08,2024-08-02,0
220,160,2024-07-16,Cancelled,France,2023-05-11,2024,7,July,3,Tuesday,2024-07,2024-03-16,122
221,9,2024-07-18,Completed,Morocco,2023-08-09,2024,7,July,3,Thursday,2024-07,2024-07-18,0
222,233,2024-01-25,Completed,Spain,2023-05-29,2024,1,January,1,Thursday,2024-01,2024-01-25,0
223,99,2024-03-29,Completed,Italy,2024-01-09,2024,3,March,1,Friday,2024-03,2024-01-13,76
224,147,2024-09-24,Completed,Germany,2024-05-08,2024,9,September,3,Tuesday,2024-09,2024-01-12,256
225,208,2024-05-22,Completed,Morocco,2024-04-07,2024,5,May,2,Wednesday,2024-05,2024-05-22,0
226,131,2024-02-28,Completed,Spain,2024-04-08,2024,2,February,1,Wednesday,2024-02,2024-02-28,0
227,152,2024-12-30,Completed,Morocco,2023-09-15,2024,12,December,4,Monday,2024-12,2024-02-16,318
228,54,2024-01-26,Completed,Morocco,2023-06-12,2024,1,January,1,Friday,2024-01,2024-01-22,4
229,120,2024-02-16,Completed,Spain,2023-03-20,2024,2,February,1,Friday,2024-02,2024-02-16,0
230,161,2024-10-14,Completed,Germany,2023-12-24,2024,10,October,4,Monday,2024-10,2024-05-10,157
231,116,2024-09-22,Completed,France,2023-07-16,2024,9,September,3,Sunday,2024-09,2024-08-23,30
232,75,2024-01-16,Completed,Spain,2023-07-03,2024,1,January,1,Tuesday,2024-01,2024-01-12,4
233,113,2024-07-17,Completed,Spain,2024-04-12,2024,7,July,3,Wednesday,2024-07,2024-02-24,144
234,104,2024-10-08,Completed,Spain,2023-02-05,2024,10,October,4,Tuesday,2024-10,2024-03-17,205
235,254,2024-03-26,Returned,Germany,2023-08-09,2024,3,March,1,Tuesday,2024-03,2024-03-26,0
236,227,2024-09-06,Completed,Spain,2023-09-21,2024,9,September,3,Friday,2024-09,2024-06-01,97
237,112,2024-09-26,Completed,Germany,2024-04-25,2024,9,September,3,Thursday,2024-09,2024-07-06,82
238,99,2024-11-30,Completed,Italy,2024-01-09,2024,11,November,4,Saturday,2024-11,2024-01-13,322
239,153,2024-04-26,Completed,Germany,2023-06-13,2024,4,April,2,Friday,2024-04,2024-02-28,58
240,194,2024-01-07,Completed,Morocco,2024-03-12,2024,1,January,1,Sunday,2024-01,2024-01-07,0
241,163,2024-05-16,Completed,Spain,2023-07-27,2024,5,May,2,Thursday,2024-05,2024-01-29,108
242,208,2024-06-24,Completed,Morocco,2024-04-07,2024,6,June,2,Monday,2024-06,2024-05-22,33
243,169,2024-11-23,Completed,Spain,2023-06-20,2024,11,November,4,Saturday,2024-11,2024-11-23,0
244,161,2024-11-10,Completed,Germany,2023-12-24,2024,11,November,4,Sunday,2024-11,2024-05-10,184
245,68,2024-08-02,Completed,Morocco,2023-12-02,2024,8,August,3,Friday,2024-08,2024-05-12,82
246,289,2024-03-22,Completed,Italy,2023-05-28,2024,3,March,1,Friday,2024-03,2024-03-22,0
247,277,2024-08-10,Completed,Germany,2023-07-19,2024,8,August,3,Saturday,2024-08,2024-01-15,208
248,135,2024-04-12,Completed,France,2023-09-23,2024,4,April,2,Friday,2024-04,2024-04-12,0
249,195,2024-09-29,Completed,Spain,2023-06-07,2024,9,September,3,Sunday,2024-09,2024-01-24,249
250,128,2024-01-14,Returned,Italy,2024-03-20,2024,1,January,1,Sunday,2024-01,2024-01-14,0
251,33,2024-06-07,Completed,Italy,2023-04-11,2024,6,June,2,Friday,2024-06,2024-05-07,31
252,176,2024-05-31,Completed,France,2023-09-01,2024,5,May,2,Friday,2024-05,2024-05-31,0
253,22,2024-04-17,Completed,Italy,2023-08-04,2024,4,April,2,Wednesday,2024-04,2024-04-17,0
254,238,2024-07-06,Completed,Spain,2024-02-29,2024,7,July,3,Saturday,2024-07,2024-06-24,12
255,158,2024-10-27,Completed,Italy,2024-01-02,2024,10,October,4,Sunday,2024-10,2024-02-29,241
256,38,2024-04-07,Completed,Morocco,2024-05-03,2024,4,April,2,Sunday,2024-04,2024-04-07,0
257,230,2024-05-10,Completed,Morocco,2023-02-10,2024,5,May,2,Friday,2024-05,2024-02-08,92
